0,01gm
1,01CD
2,01ol
3,02Ig
4,01R9
5,021B
6,01XE
7,01GO
8,02cD
9,023m
10,01dn
11,012Z
12,023Z
13,01jK
14,02DX
15,01za
16,013S
17,01OX
18,01lb
19,029t
20,02lU
21,01U5
22,01jf
23,01Bb
24,01QZ
25,01QN
26,02AX
27,01rH
28,01A2
29,01g7
30,02dt
31,01DK
32,01oV
33,01M9
34,025V
35,01he
36,01Vg
37,01Tq
38,01mH
39,01RS
40,01RG
41,029A
42,01GX
43,02yJ
44,02go
45,01xn
46,01pE
47,01I6
48,01mt
49,02mV
50,02yI
51,019X
52,01Hi
53,01tO
54,02rt
55,02FK
56,02nL
57,01ia
58,02b8
59,01JZ
60,01Nt
61,01sh
62,02r7
63,02EF
64,02Gn
65,02K8
66,023H
67,01t8
68,02SG
69,02yr
70,01nK
71,01Dc
72,02vA
73,02Is
74,02Kr
75,026a
76,02uE
77,01R4
78,01ej
79,02IT
80,02fI
81,019i
82,026C
83,01sO
84,02ko
85,01WV
86,02aI
87,02d3
88,01FC
89,014J
90,02fP
91,01hk
92,01Q7
93,01dK
94,01wv
95,01Jk
96,02l6
97,01VU
98,01a4
99,02tA
100,02Mn
101,02ew
102,0231
103,01cH
104,015D
105,01yw
106,01by
107,02rJ
108,01Jj
109,02Ny
110,02mI
111,02CD
112,01Os
113,01MD
114,01YR
115,02DU
116,01Wo
117,01L2
118,027J
119,01LZ
120,0196
121,01bQ
122,02AD
123,01ul
124,023S
125,01An
126,01c2
127,012d
128,01TH
129,02dD
130,02ld
131,01Ss
132,015I
133,02lR
134,01r7
135,01bD
136,02Os
137,02rA
138,02yH
139,02sr
140,01Bt
141,01Ff
142,0176
143,01Xg
144,01uE
145,01ES
146,02KG
147,02MH
148,01L7
149,02JA
150,02T6
151,01eE
152,02QZ
153,02yD
154,01Ie
155,01NO
156,017W
157,01eJ
158,01E2
159,02dT
160,01uW
161,02js
162,02ML
163,02Nn
164,01NE
165,01zC
166,01lE
167,02Hm
168,02A9
169,02cp
170,01mP
171,015K
172,02hv
173,01pR
174,01RD
175,01xM
176,01UV
177,02rT
178,02h8
179,02JW
180,01lR
181,01Xu
182,01tS
183,02yl
184,01og
185,02jg
186,01VL
187,02xd
188,02Qt
189,02kN
190,01qG
191,01SV
192,02d7
193,018K
194,02mA
195,01CM
196,02ti
197,02Pd
198,02gv
199,01go
200,0214
201,02r6
202,013r
203,024A
204,01Oc
205,01oI
206,02lX
207,02pv
208,02xF
209,02xC
210,02qX
211,02PS
212,019r
213,01jQ
214,02Lw
215,02jU
216,01kz
217,01up
218,01Tm
219,02Mk
220,01kc
221,02F5
222,01sx
223,01rv
224,01Xd
225,01De
226,01UT
227,01KT
228,01Es
229,01gH
230,01H5
231,01Qi
232,02G9
233,02bo
234,02OZ
235,02nx
236,02zt
237,02FG
238,028c
239,02hl
240,02ey
241,01Jh
242,02EQ
243,01Fh
244,02gc
245,01Xc
246,01Oi
247,023u
248,01Ei
249,026F
250,01KL
251,01xv
252,01Fx
253,02oe
254,02F6
255,02oY
256,0239
257,01wj
258,02LR
259,024H
260,02Rw
261,02Lm
262,02xO
263,01m5
264,01Ip
265,02wo
266,027r
267,026X
268,01Qb
269,019G
270,02RI
271,017d
272,01Ct
273,01O8
274,01Ao
275,01c8
276,02kH
277,019B
278,01cA
279,01xo
280,01iW
281,02d8
282,02Ml
283,012V
284,01bt
285,02uo
286,01vW
287,02Rf
288,01jJ
289,01cC
290,01vk
291,02gb
292,01p6
293,01Ix
294,02gZ
295,02kb
296,0132
297,01hb
298,02rc
299,01Ko
300,02OB
301,02vY
302,01Ma
303,01d2
304,02Ib
305,02fp
306,02Pm
307,01Ou
308,019j
309,01Y5
310,02FP
311,01yB
312,01G7
313,02bd
314,01WL
315,01JI
316,01rF
317,02LI
318,02xH
319,01AY
320,01AR
321,01jW
322,02Bk
323,019E
324,01MG
325,02x8
326,02gA
327,02Mz
328,02pK
329,02zd
330,02cS
331,02h7
332,02sB
333,02Al
334,01Li
335,02nk
336,029l
337,01mQ
338,02m8
339,02v1
340,02ME
341,02fC
342,01NJ
343,02fF
344,02nB
345,0278
346,02EV
347,01Jy
348,02SV
349,027A
350,02jt
351,01tX
352,02qQ
353,01kG
354,02xe
355,017f
356,01SA
357,01tV
358,01rC
359,01Yp
360,02I3
361,02um
362,02Ke
363,02CY
364,02nG
365,02QB
366,02iG
367,01To
368,02wU
369,012D
370,01Oe
371,01yC
372,01fO
373,01l4
374,02KC
375,01Zt
376,02OS
377,019C
378,01vs
379,01di
380,01m4
381,02zA
382,02oD
383,01op
384,01Sp
385,02iM
386,02xw
387,016B
388,01CE
389,02EU
390,02sM
391,02cW
392,01xr
393,01si
394,01P7
395,02Hk
396,01mY
397,02SC
398,01fs
399,017p
400,02wE
401,02hF
402,01t3
403,01id
404,02hO
405,01dx
406,01as
407,01sC
408,01ri
409,01DO
410,01HZ
411,01br
412,01gL
413,01u6
414,02Rn
415,02sf
416,013R
417,02tG
418,0235
419,01WA
420,02MO
421,02kD
422,02gw
423,01uo
424,01f3
425,02x5
426,01do
427,01Gi
428,02vZ
429,01Gw
430,014V
431,02tO
432,01cD
433,02aL
434,01gG
435,01EP
436,01r2
437,02yY
438,02wm
439,027F
440,027L
441,021l
442,01cq
443,01FJ
444,02wT
445,01HX
446,01bu
447,02MF
448,01BZ
449,02k6
450,02CE
451,01aO
452,01Gb
453,01Zs
454,02xb
455,01oZ
456,02eX
457,014r
458,01Fs
459,02nb
460,01n9
461,01Tz
462,01nq
463,021s
464,02kg
465,01VH
466,02cl
467,02hB
468,025I
469,02mE
470,01Ac
471,01mD
472,02xZ
473,02br
474,01Zl
475,01Y2
476,01ay
477,02Hy
478,027o
479,014K
480,02Eg
481,02E9
482,02Dg
483,02rq
484,025b
485,02Ok
486,026i
487,01aU
488,01dV
489,02lC
490,01lY
491,01uT
492,02Kj
493,02NM
494,01KU
495,02wO
496,027x
497,02aV
498,02zN
499,01vI
500,01r4
501,01U2
502,02NP
503,01CY
504,02JU
505,02pS
506,02uj
507,02mM
508,01MS
509,02NA
510,02G1
511,01vQ
512,02jP
513,01kZ
514,02b9
515,01Dl
516,02cT
517,01sl
518,01Nn
519,02uY
520,0285
521,02ae
522,02HB
523,01yf
524,0192
525,018t
526,01jC
527,01xP
528,01W6
529,01mT
530,02Em
531,02Ak
532,01aY
533,02zB
534,018S
535,01Rg
536,027v
537,0256
538,02be
539,01Vj
540,01sp
541,01Hz
542,01gl
543,01qW
544,01q9
545,02id
546,02LZ
547,01us
548,01Q3
549,02sI
550,01W4
551,02sd
552,01SQ
553,02Rt
554,02Oj
555,01Gs
556,02RD
557,013L
558,02MV
559,02iB
560,02LC
561,02BC
562,02SM
563,01WY
564,01Ol
565,01d3
566,01KJ
567,01XW
568,01xt
569,01ZC
570,02am
571,01kR
572,02KI
573,01OE
574,02bJ
575,02N1
576,01wu
577,01A6
578,01Xj
579,01JU
580,02K1
581,01Lg
582,02Dc
583,02Bn
584,01uO
585,01em
586,01ve
587,01fU
588,01Io
589,01fw
590,02GC
591,01nw
592,017t
593,01XJ
594,01ky
595,02vV
596,01jh
597,012A
598,01Ji
599,016i
600,02yN
601,02HA
602,01oO
603,01WU
604,013Y
605,01GM
606,01KS
607,02gR
608,02My
609,01pu
610,01mK
611,01IE
612,01j6
613,02pF
614,01of
615,018q
616,02nw
617,02ja
618,02ml
619,02fW
620,02Ie
621,02BM
622,02cm
623,01Zn
624,01Cz
625,017D
626,01g6
627,01zE
628,01X6
629,01ja
630,018P
631,01Uh
632,02Jt
633,02nK
634,02BX
635,029y
636,01US
637,02v8
638,01oM
639,01nZ
640,02pQ
641,01jB
642,02r8
643,02mL
644,02MD
645,02Cm
646,01aq
647,01oJ
648,02qu
649,01Is
650,029R
651,02FB
652,02Gz
653,01lu
654,02KX
655,01TG
656,01vN
657,02Sa
658,01jt
659,01E3
660,02ei
661,01Zh
662,01Ln
663,026j
664,02SD
665,02i5
666,02xk
667,01aj
668,02za
669,02oj
670,019x
671,01V5
672,01dS
673,02KQ
674,02vj
675,02bc
676,019V
677,024g
678,013i
679,01wU
680,01mJ
681,0247
682,02sV
683,01ez
684,01SD
685,013O
686,01dk
687,01yt
688,02A1
689,02hR
690,023j
691,01uX
692,015z
693,021K
694,01Wj
695,01zL
696,02bU
697,02yf
698,02l7
699,02o3
700,01Kx
701,01Ps
702,02aJ
703,01tk
704,01jN
705,02qd
706,01m6
707,01OQ
708,021o
709,018D
710,01sS
711,02Df
712,02La
713,02BZ
714,01EM
715,01bG
716,02fS
717,01kl
718,021G
719,02DB
720,01M5
721,028G
722,02xo
723,01Mo
724,01dM
725,01A5
726,02wD
727,01vO
728,02y5
729,01Uj
730,01rs
731,02eE
732,02ov
733,01Dp
734,02Ni
735,01Pk
736,02Q7
737,01FL
738,01fx
739,02p6
740,01kA
741,01Wx
742,02xs
743,01bY
744,01mc
745,01nE
746,02fi
747,02R1
748,02KU
749,01Ho
750,01FV
751,019Y
752,02m9
753,01XZ
754,02OR
755,01Ta
756,0215
757,01Bm
758,01wZ
759,01Vh
760,029k
761,02sA
762,02jE
763,01ML
764,025p
765,02OC
766,02bX
767,01bW
768,02ez
769,01Nh
770,01kQ
771,02ih
772,01e4
773,01UI
774,01At
775,01fv
776,017M
777,02OD
778,02LQ
779,01VN
780,01ok
781,01Pe
782,01tn
783,023E
784,025N
785,01oG
786,01dE
787,02kC
788,02Pj
789,01q6
790,02ca
791,02fY
792,01iD
793,02DP
794,017b
795,02LF
796,02Cy
797,02HT
798,01o5
799,01Vl
800,02MN
801,02dX
802,02GR
803,02MS
804,02h6
805,02St
806,01yp
807,01k9
808,02C5
809,01mx
810,02Hj
811,01Pt
812,01L9
813,01bn
814,01Tp
815,02Rk
816,01Ub
817,02BK
818,02jn
819,01lG
820,01Nl
821,02EO
822,01TX
823,02yc
824,02eR
825,01u5
826,02LN
827,01SG
828,01Q4
829,01IJ
830,02sF
831,02FO
